"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
2;"U3";"DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm";1;"MCP73832-2-MC";;;
3;"U2";"SOT23_DBV_TEX";1;"TPS7A0215PDQNR";;;
4;"D216,D202,D187,D203,D157,D141,D125,D126,D142,D158,D173,D189,D174,D159,D143,D127,D128,D144,D160,D175,D190,D205,D206,D191,D176,D161,D145,D129,D130,D146,D162,D177,D192,D207,D208,D193,D178,D163,D147,D131,D132,D148,D164,D179,D194,D209,D210,D195,D180,D165,D149,D133,D134,D150,D166,D181,D196,D211,D212,D197,D182,D167,D151,D135,D136,D152,D168,D183,D198,D213,D214,D199,D184,D169,D153,D137,D138,D154,D170,D185,D200,D186,D171,D155,D139,D123,D122,D121,D120,D119,D118,D117,D116,D115,D114,D113,D112,D111,D110,D109,D93,D94,D95,D96,D97,D98,D99,D100,D101,D102,D103,D104,D105,D106,D107,D91,D90,D89,D88,D87,D86,D85,D84,D83,D82,D81,D80,D79,D78,D77,D61,D62,D63,D64,D65,D66,D67,D68,D69,D70,D71,D72,D73,D74,D75,D59,D58,D57,D56,D55,D54,D53,D52,D51,D50,D49,D48,D47,D46,D32,D33,D34,D35,D36,D37,D38,D39,D40,D41,D42,D43,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D17,D16,D15,D14,D13,D12,D11,D10,D60,D76,D92,D108,D140,D124,D172,D156,D4,D6,D5,D1,D2,D18,D44,D30,D7,D19,D3,D45,D204,D188,D8,D201,D31,D215,D9,D241";"LED_0402_1005Metric";217;"LED_Small";;;
5;"U1";"DBZ0003A_L";1;"TPS3839A09DQNR";;;
6;"C23,C21,C28,C22";"C_0402_1005Metric";4;"4.7u";;;
7;"R2,R4,R6";"R_0402_1005Metric";3;"1k";;;
8;"C29,C30";"C_0402_1005Metric";2;"15p";;;
9;"C15,C25,C20,C17,C16,C18,C24,C26,C27";"C_0402_1005Metric";9;"100n";;;
10;"C6,C7";"C_0402_1005Metric";2;"100nF";;;
11;"TP6";"TestPoint_Pad_D1.0mm";1;"SWD";;;
12;"TP5";"TestPoint_Pad_D1.0mm";1;"SWCLK";;;
13;"TP2";"TestPoint_Pad_D1.0mm";1;"UART_BOOTSEL";;;
14;"TP1";"TestPoint_Pad_D1.0mm";1;"BOOT_TX";;;
15;"TP4";"TestPoint_Pad_D1.0mm";1;"BOOT_CLK";;;
16;"TP3";"TestPoint_Pad_D1.0mm";1;"BOOT_RX";;;
17;"R5";"R_0402_1005Metric";1;"33";;;
18;"C1,C2";"C_0402_1005Metric";2;"1uF";;;
19;"C19";"C_0402_1005Metric";1;"10u";;;
20;"C3";"C_0402_1005Metric";1;"0.1uF";;;
21;"C4,C5";"C_0402_1005Metric";2;"4.7uF";;;
22;"R3";"R_0402_1005Metric";1;"2K";;;
23;"R1";"R_0402_1005Metric";1;"470";;;
24;",,";"";3;"";;;
25;"L1";"L_3.3uH";1;"3.3u";;;
26;"U5";"QFN_BMA400_BOS-M";1;"BMA400";;;
27;"U4";"RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350_60QFN";;;
28;"H1";"15653221";1;"1565322-1";;;
